Date,Equity
2025-01-24,23771939.400000013
2025-01-27,23771939.400000013
2025-01-28,23771939.400000013
2025-01-29,23771939.400000013
2025-01-30,23771939.400000013
2025-01-31,23771939.400000013
2025-02-01,23771939.400000013
2025-02-03,23771939.400000013
2025-02-04,23771939.400000013
2025-02-05,23771939.400000013
2025-02-06,23771939.400000013
2025-02-07,23771939.400000013
2025-02-10,23771939.400000013
2025-02-11,23771939.400000013
2025-02-12,23771939.400000013
2025-02-13,23771939.400000013
2025-02-14,23771939.400000013
2025-02-17,23771939.400000013
2025-02-18,23771939.400000013
2025-02-19,23771939.400000013
2025-02-20,23771939.400000013
2025-02-21,23771939.400000013
2025-02-24,23771939.400000013
2025-02-25,23771939.400000013
2025-02-27,23771939.400000013
2025-02-28,23771939.400000013
2025-03-03,23771939.400000013
2025-03-04,23771939.400000013
2025-03-05,23771939.400000013
2025-03-06,23771939.400000013
2025-03-07,23771939.400000013
2025-03-10,23771939.400000013
2025-03-11,23771939.400000013
2025-03-12,23771939.400000013
2025-03-13,23771939.400000013
2025-03-17,23771939.400000013
2025-03-18,23771939.400000013
2025-03-19,23771939.400000013
2025-03-20,23771939.400000013
2025-03-21,23771939.400000013
2025-03-24,23771939.400000013
2025-03-25,23771939.400000013
2025-03-26,23771939.400000013
2025-03-27,23771939.400000013
2025-03-28,23771939.400000013
2025-04-01,23771939.400000013
2025-04-02,23771939.400000013
2025-04-03,23771939.400000013
2025-04-04,23771939.400000013
2025-04-07,23771939.400000013
2025-04-08,23771939.400000013
2025-04-09,23771939.400000013
2025-04-11,23771939.400000013
2025-04-15,23771939.400000013
2025-04-16,23771939.400000013
2025-04-17,23771939.400000013
2025-04-21,23771939.400000013
2025-04-22,23771939.400000013
2025-04-23,23771939.400000013
2025-04-24,23771939.400000013
2025-04-25,23771939.400000013
2025-04-28,23771939.400000013
2025-04-29,23771939.400000013
2025-04-30,23771939.400000013
2025-05-02,23771939.400000013
2025-05-05,23771939.400000013
2025-05-06,23771939.400000013
2025-05-07,23771939.400000013
2025-05-08,23771939.400000013
2025-05-09,23771939.400000013
2025-05-12,23771939.400000013
2025-05-13,23771939.400000013
2025-05-14,23771939.400000013
2025-05-15,23771939.400000013
2025-05-16,23771939.400000013
2025-05-19,23771939.400000013
2025-05-20,23771939.400000013
2025-05-21,23771939.400000013
2025-05-22,23771939.400000013
2025-05-23,23771939.400000013
2025-05-26,23771939.400000013
2025-05-27,23771939.400000013
2025-05-28,23771939.400000013
2025-05-29,23771939.400000013
2025-05-30,23771939.400000013
2025-06-02,23771939.400000013
2025-06-03,23771939.400000013
2025-06-04,23771939.400000013
2025-06-05,23771939.400000013
2025-06-06,23771939.400000013
2025-06-09,23771939.400000013
2025-06-10,23771939.400000013
2025-06-11,23771939.400000013
2025-06-12,23771939.400000013
2025-06-13,23771939.400000013
2025-06-16,23771939.400000013
2025-06-17,23771939.400000013
2025-06-18,23771939.400000013
2025-06-19,23771939.400000013
2025-06-20,23771939.400000013
2025-06-23,23771939.400000013
2025-06-24,23771939.400000013
2025-06-25,23771939.400000013
2025-06-26,23771939.400000013
2025-06-27,23771939.400000013
2025-06-30,23771939.400000013
2025-07-01,23771939.400000013
2025-07-02,23771939.400000013
2025-07-03,23771939.400000013
2025-07-04,23771939.400000013
2025-07-07,23771939.400000013
2025-07-08,23771939.400000013
2025-07-09,23771939.400000013
2025-07-10,23771939.400000013
2025-07-11,23771939.400000013
2025-07-14,23771939.400000013
2025-07-15,23771939.400000013
2025-07-16,23771939.400000013
2025-07-17,23771939.400000013
2025-07-18,23771939.400000013
2025-07-21,23771939.400000013
2025-07-22,23771939.400000013
2025-07-23,23771939.400000013
2025-07-24,23771939.400000013
2025-07-25,23771939.400000013
2025-07-28,23771939.400000013
2025-07-29,23771939.400000013
2025-07-30,23771939.400000013
2025-07-31,23771939.400000013
2025-08-01,23771939.400000013
2025-08-04,23771939.400000013
2025-08-05,23771939.400000013
2025-08-06,23771939.400000013
2025-08-07,23771939.400000013
2025-08-08,23771939.400000013
2025-08-11,23771939.400000013
2025-08-12,23771939.400000013
2025-08-13,23771939.400000013
2025-08-14,23771939.400000013
2025-08-18,23771939.400000013
2025-08-19,23771939.400000013
2025-08-20,23771939.400000013
2025-08-21,23771939.400000013
2025-08-22,23771939.400000013
2025-08-25,23771939.400000013
2025-08-26,23771939.400000013
2025-08-28,23771939.400000013
2025-08-29,23771939.400000013
2025-09-01,23771939.400000013
2025-09-02,23771939.400000013
2025-09-03,23771939.400000013
2025-09-04,23771939.400000013
2025-09-05,23771939.400000013
2025-09-08,23771939.400000013
2025-09-09,23771939.400000013
2025-09-10,23771939.400000013
2025-09-11,23771939.400000013
2025-09-12,23771939.400000013
2025-09-15,23771939.400000013
2025-09-16,23771939.400000013
2025-09-17,23771939.400000013
2025-09-18,23771939.400000013
2025-09-19,23771939.400000013
2025-09-22,23771939.400000013
2025-09-23,23771939.400000013
2025-09-24,23771939.400000013
2025-09-25,23771939.400000013
2025-09-26,23771939.400000013
2025-09-29,23771939.400000013
2025-09-30,23771939.400000013
2025-10-01,23771939.400000013
2025-10-03,23771939.400000013
2025-10-06,23771939.400000013
2025-10-07,23771939.400000013
2025-10-08,23771939.400000013
2025-10-09,23771939.400000013
2025-10-10,23771939.400000013
2025-10-13,23771939.400000013
2025-10-14,23771939.400000013
2025-10-15,23771939.400000013
2025-10-16,23771939.400000013
2025-10-17,23771939.400000013
2025-10-20,23771939.400000013
2025-10-21,23771939.400000013
2025-10-23,23771939.400000013
2025-10-24,23771939.400000013
2025-10-27,23771939.400000013
2025-10-28,23771939.400000013
2025-10-29,23771939.400000013
2025-10-30,23771939.400000013
2025-10-31,23771939.400000013
2025-11-03,23771939.400000013
2025-11-04,23771939.400000013
2025-11-06,23771939.400000013
2025-11-07,23771939.400000013
2025-11-10,23771939.400000013
2025-11-11,23771939.400000013
2025-11-12,23771939.400000013
2025-11-13,23771939.400000013
2025-11-14,23771939.400000013
2025-11-17,23771939.400000013
2025-11-18,23771939.400000013
2025-11-19,23771939.400000013
2025-11-20,23771939.400000013
2025-11-21,23771939.400000013
2025-11-24,23771939.400000013
2025-11-25,23771939.400000013
2025-11-26,23771939.400000013
2025-11-27,23771939.400000013
2025-11-28,23771939.400000013
2025-12-01,23771939.400000013
2025-12-02,23771939.400000013
2025-12-03,23771939.400000013
2025-12-04,23771939.400000013
2025-12-05,23771939.400000013
2025-12-08,23771939.400000013
2025-12-09,23771939.400000013
2025-12-10,23771939.400000013
2025-12-11,23771939.400000013
2025-12-12,23771939.400000013
2025-12-15,23771939.400000013
2025-12-16,23771939.400000013
2025-12-17,23771939.400000013
2025-12-18,23771939.400000013
2025-12-19,23771939.400000013
2024-08-07,23771939.400000013
2024-08-08,23771939.400000013
2024-08-09,23771939.400000013
2024-08-12,23771939.400000013
2024-08-13,23771939.400000013
2024-08-14,23771939.400000013
2024-08-16,23771939.400000013
2024-08-19,23771939.400000013
2024-08-20,23771939.400000013
2024-08-21,23771939.400000013
2024-08-22,23771939.400000013
2024-08-23,23771939.400000013
2024-08-26,23771939.400000013
2024-08-27,23771939.400000013
2024-08-28,23771939.400000013
2024-08-29,23771939.400000013
2024-08-30,23771939.400000013
2024-09-02,23771939.400000013
2024-09-03,23771939.400000013
2024-09-04,23771939.400000013
2024-09-05,23771939.400000013
2024-09-06,23771939.400000013
2024-09-09,23771939.400000013
2024-09-10,23771939.400000013
2024-09-11,23771939.400000013
2024-09-12,23771939.400000013
2024-09-13,23771939.400000013
2024-09-16,23771939.400000013
2024-09-17,23771939.400000013
2024-09-18,23771939.400000013
2024-09-19,23771939.400000013
2024-09-20,23771939.400000013
2024-09-23,23771939.400000013
2024-09-24,23771939.400000013
2024-09-25,23771939.400000013
2024-09-26,23771939.400000013
2024-09-27,23771939.400000013
2024-09-30,23771939.400000013
2024-10-01,23771939.400000013
2024-10-03,23771939.400000013
2024-10-04,23771939.400000013
2024-10-07,23771939.400000013
2024-10-08,23771939.400000013
2024-10-09,23771939.400000013
2024-10-10,23771939.400000013
2024-10-11,23771939.400000013
2024-10-14,23771939.400000013
2024-10-15,23771939.400000013
2024-10-16,23771939.400000013
2024-10-17,23771939.400000013
2024-10-18,23771939.400000013
2024-10-21,23771939.400000013
2024-10-22,23771939.400000013
2024-10-23,23771939.400000013
2024-10-24,23771939.400000013
2024-10-25,23771939.400000013
2024-10-28,23771939.400000013
2024-10-29,23771939.400000013
2024-10-30,23771939.400000013
2024-10-31,23771939.400000013
2024-11-01,23771939.400000013
2024-11-04,23771939.400000013
2024-11-05,23771939.400000013
2024-11-06,23771939.400000013
2024-11-07,23771939.400000013
2024-11-08,23771939.400000013
2024-11-11,23771939.400000013
2024-11-12,23771939.400000013
2024-11-13,23771939.400000013
2024-11-14,23771939.400000013
2024-11-18,23771939.400000013
2024-11-19,23771939.400000013
2024-11-21,23771939.400000013
2024-11-22,23771939.400000013
2024-11-25,23771939.400000013
2024-11-26,23771939.400000013
2024-11-27,23771939.400000013
2024-11-28,23771939.400000013
2024-11-29,23771939.400000013
2024-12-02,23771939.400000013
2024-12-03,23771939.400000013
2024-12-04,23771939.400000013
2024-12-05,23771939.400000013
2024-12-06,23771939.400000013
2024-12-09,23771939.400000013
2024-12-10,23771939.400000013
2024-12-11,23771939.400000013
2024-12-12,23771939.400000013
2024-12-13,23771939.400000013
2024-12-16,23771939.400000013
2024-12-17,23771939.400000013
2024-12-18,23771939.400000013
2024-12-19,23771939.400000013
2024-12-20,23771939.400000013
2024-12-23,23771939.400000013
2024-12-24,23771939.400000013
2024-12-26,23771939.400000013
2024-12-27,23771939.400000013
2024-12-30,23771939.400000013
2024-12-31,23771939.400000013
2025-01-01,23771939.400000013
2025-01-02,23771939.400000013
2025-01-03,23771939.400000013
2025-01-06,23771939.400000013
2025-01-07,23771939.400000013
2025-01-08,23771939.400000013
2025-01-09,23771939.400000013
2025-01-10,23771939.400000013
2025-01-13,23771939.400000013
2025-01-14,23771939.400000013
2025-01-15,23771939.400000013
2025-01-16,23771939.400000013
2025-01-17,23771939.400000013
2025-01-20,23771939.400000013
2025-01-21,23771939.400000013
2025-01-22,23771939.400000013
2025-01-23,23771939.400000013
2025-01-24,23771939.400000013
2025-01-27,23771939.400000013
2025-01-28,23771939.400000013
2025-01-29,23771939.400000013
2025-01-30,23771939.400000013
2025-01-31,23771939.400000013
2025-02-01,23771939.400000013
2025-02-03,23771939.400000013
2025-02-04,23771939.400000013
2025-02-05,23771939.400000013
2025-02-06,23771939.400000013
2025-02-07,23771939.400000013
2025-02-10,23771939.400000013
2025-02-11,23771939.400000013
2025-02-12,23771939.400000013
2025-02-13,23771939.400000013
2025-02-14,23771939.400000013
2025-02-17,23771939.400000013
2025-02-18,23771939.400000013
2025-02-19,23771939.400000013
2025-02-20,23771939.400000013
2025-02-21,23771939.400000013
2025-02-24,23771939.400000013
2025-02-25,23771939.400000013
2025-02-27,23771939.400000013
2025-02-28,23771939.400000013
2025-03-03,23771939.400000013
2025-03-04,23771939.400000013
2025-03-05,23771939.400000013
2025-03-06,23771939.400000013
2025-03-07,23771939.400000013
2025-03-10,23771939.400000013
2025-03-11,23771939.400000013
2025-03-12,23771939.400000013
2025-03-13,23771939.400000013
2025-03-17,23771939.400000013
2025-03-18,23771939.400000013
2025-03-19,23771939.400000013
2025-03-20,23771939.400000013
2025-03-21,23771939.400000013
2025-03-24,23771939.400000013
2025-03-25,23771939.400000013
2025-03-26,23771939.400000013
2025-03-27,23771939.400000013
2025-03-28,23771939.400000013
2025-04-01,23771939.400000013
2025-04-02,23771939.400000013
2025-04-03,23771939.400000013
2025-04-04,23771939.400000013
2025-04-07,23771939.400000013
2025-04-08,23771939.400000013
2025-04-09,23771939.400000013
2025-04-11,23771939.400000013
2025-04-15,23771939.400000013
2025-04-16,23771939.400000013
2025-04-17,23771939.400000013
2025-04-21,23771939.400000013
2025-04-22,23771939.400000013
2025-04-23,23771939.400000013
2025-04-24,23771939.400000013
2025-04-25,23771939.400000013
2025-04-28,23771939.400000013
2025-04-29,23771939.400000013
2025-04-30,23771939.400000013
2025-05-02,23771939.400000013
2025-05-05,23771939.400000013
2025-05-06,23771939.400000013
2025-05-07,23771939.400000013
2025-05-08,23771939.400000013
2025-05-09,23771939.400000013
2025-05-12,23771939.400000013
2025-05-13,23771939.400000013
2025-05-14,23771939.400000013
2025-05-15,23771939.400000013
2025-05-16,23771939.400000013
2025-05-19,23771939.400000013
2025-05-20,23771939.400000013
2025-05-21,23771939.400000013
2025-05-22,23771939.400000013
2025-05-23,23771939.400000013
2025-05-26,23771939.400000013
2025-05-27,23771939.400000013
2025-05-28,23771939.400000013
2025-05-29,23771939.400000013
2025-05-30,23771939.400000013
2025-06-02,23771939.400000013
2025-06-03,23771939.400000013
2025-06-04,23771939.400000013
2025-06-05,23771939.400000013
2025-06-06,23771939.400000013
2025-06-09,23771939.400000013
2025-06-10,23771939.400000013
2025-06-11,23771939.400000013
2025-06-12,23771939.400000013
2025-06-13,23771939.400000013
2025-06-16,23771939.400000013
2025-06-17,23771939.400000013
2025-06-18,23771939.400000013
2025-06-19,23771939.400000013
2025-06-20,23771939.400000013
2025-06-23,23771939.400000013
2025-06-24,23771939.400000013
2025-06-25,23771939.400000013
2025-06-26,23771939.400000013
2025-06-27,23771939.400000013
2025-06-30,23771939.400000013
2025-07-01,23771939.400000013
2025-07-02,23771939.400000013
2025-07-03,23771939.400000013
2025-07-04,23771939.400000013
2025-07-07,23771939.400000013
2025-07-08,23771939.400000013
2025-07-09,23771939.400000013
2025-07-10,23771939.400000013
2025-07-11,23771939.400000013
2025-07-14,23771939.400000013
2025-07-15,23771939.400000013
2025-07-16,23771939.400000013
2025-07-17,23771939.400000013
2025-07-18,23771939.400000013
2025-07-21,23771939.400000013
2025-07-22,23771939.400000013
2025-07-23,23771939.400000013
2025-07-24,23771939.400000013
2025-07-25,23771939.400000013
2025-07-28,23771939.400000013
2025-07-29,23771939.400000013
2025-07-30,23771939.400000013
2025-07-31,23771939.400000013
2025-08-01,23771939.400000013
2025-08-04,23771939.400000013
2025-08-05,23771939.400000013
2025-08-06,23771939.400000013
2025-08-07,23771939.400000013
2025-08-08,23771939.400000013
2025-08-11,23771939.400000013
2025-08-12,23771939.400000013
2025-08-13,23771939.400000013
2025-08-14,23771939.400000013
2025-08-18,23771939.400000013
2025-08-19,23771939.400000013
2025-08-20,23771939.400000013
2025-08-21,23771939.400000013
2025-08-22,23771939.400000013
2025-08-25,23771939.400000013
2025-08-26,23771939.400000013
2025-08-28,23771939.400000013
2025-08-29,23771939.400000013
2025-09-01,23771939.400000013
2025-09-02,23771939.400000013
2025-09-03,23771939.400000013
2025-09-04,23771939.400000013
2025-09-05,23771939.400000013
2025-09-08,23771939.400000013
2025-09-09,23771939.400000013
2025-09-10,23771939.400000013
2025-09-11,23771939.400000013
2025-09-12,23771939.400000013
2025-09-15,23771939.400000013
2025-09-16,23771939.400000013
2025-09-17,23771939.400000013
2025-09-18,23771939.400000013
2025-09-19,23771939.400000013
2025-09-22,23771939.400000013
2025-09-23,23771939.400000013
2025-09-24,23771939.400000013
2025-09-25,23771939.400000013
2025-09-26,23771939.400000013
2025-09-29,23771939.400000013
2025-09-30,23771939.400000013
2025-10-01,23771939.400000013
2025-10-03,23771939.400000013
2025-10-06,23771939.400000013
2025-10-07,23771939.400000013
2025-10-08,23771939.400000013
2025-10-09,23771939.400000013
2025-10-10,23771939.400000013
2025-10-13,23771939.400000013
2025-10-14,23771939.400000013
2025-10-15,23771939.400000013
2025-10-16,23771939.400000013
2025-10-17,23771939.400000013
2025-10-20,23771939.400000013
2025-10-21,23771939.400000013
2025-10-23,23771939.400000013
2025-10-24,23771939.400000013
2025-10-27,23771939.400000013
2025-10-28,23771939.400000013
2025-10-29,23771939.400000013
2025-10-30,23771939.400000013
2025-10-31,23771939.400000013
2025-11-03,23771939.400000013
2025-11-04,23771939.400000013
2025-11-06,23771939.400000013
2025-11-07,23771939.400000013
2025-11-10,23771939.400000013
2025-11-11,23771939.400000013
2025-11-12,23771939.400000013
2025-11-13,23771939.400000013
2025-11-14,23771939.400000013
2025-11-17,23771939.400000013
2025-11-18,23771939.400000013
2025-11-19,23771939.400000013
2025-11-20,23771939.400000013
2025-11-21,23771939.400000013
2025-11-24,23771939.400000013
